mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
ligne,Paul,275,24938,131300,0.011027347822600049,0.0020944402132520943,-0.24297150953527136
prix,Benjamin,275,56952,2933,0.004828627616238236,0.09376065461984316,4.049973786271089
chenal,Cochin,274,1782,14151,0.1537598204264871,0.019362589216309803,6.772440294718979
chenal,Chaumet,273,1782,5203,0.1531986531986532,0.05246972900249856,8.210653746952365
travaux publics,Emile,272,50480,58742,0.005388272583201268,0.0046304177590139935,-0.11575999484818213
chenal,Couesnon,271,1782,2537,0.1520763187429854,0.10681907765076862,9.236265835299138
rivière,Siegfried,270,4363,9952,0.0618840247536099,0.02713022508038585,5.967246288074855
ports,Nord,270,14155,62683,0.01907453196750265,0.004307387968029609,1.614311079584773
chenal,Clémentel,270,1782,4729,0.15151515151515152,0.057094523155001055,8.332520768602231
chenal,Cochery,270,1782,9699,0.15151515151515152,0.027837921435199506,7.296219902212794
port,Nord,270,15903,62683,0.01697792869269949,0.004307387968029609,1.446323882383953
chenal,Chaussier,269,1782,3379,0.15095398428731763,0.07960935187925422,8.812106325402027
chenal,Carnot,269,1782,5831,0.15095398428731763,0.046132738809809636,8.024959353142677
rivière,Treille,269,4363,1778,0.06165482466192986,0.1512935883014623,8.446624214881481
rivière,Pinault,268,4363,2380,0.061425624570249825,0.11260504201680673,8.020544793417093
chenal,Félix,268,1782,15936,0.15039281705948374,0.016817269076305222,6.569111856398896
rivière,Thiessé,267,4363,1476,0.061196424478569794,0.18089430894308944,8.704420386781784
prix,Jean,267,56952,50232,0.0046881584492203966,0.005315336837075968,-0.09077583167328877
prix,Trystram,267,56952,1557,0.0046881584492203966,0.17148362235067438,4.92099003622454
travaux publics,Henri,266,50480,59848,0.005269413629160063,0.004444592968854431,-0.17485105038968635
chenal,Chailley,266,1782,1933,0.14927048260381592,0.13760993274702535,9.60168111129916
frais,Faisant,265,37259,15762,0.007112375533428165,0.016812587235122446,2.1826904494911656
prix,Gustave,265,56952,18476,0.004653041157465936,0.0143429313704265,1.3413310522175472
frais,Charles,264,37259,86793,0.007085536380471832,0.0030417199543742008,-0.28389206589945465
prix,Vernhes,264,56952,2030,0.004635482511588706,0.13004926108374384,4.521977440901937
prix,Waldeck-Rousseau,264,56952,2521,0.004635482511588706,0.10472034906783023,4.209461050115936
chenal,Ceccaldi,263,1782,7527,0.14758698092031425,0.03494087950046499,7.624084331171178
prix,Waddington,263,56952,2412,0.004617923865711476,0.10903814262023218,4.2677521310082405
charge,Sens,263,21218,30617,0.01239513620510887,0.008589999020152204,2.0261788473003772
levée,Paul,262,5853,131300,0.04476336921236972,0.0019954303122619956,1.778261267070783
exploitation,Février,262,23160,28173,0.011312607944732296,0.0092996840947006,2.0143560114658383
prix,Vernière,262,56952,2097,0.004600365219834247,0.12494039103481164,4.46415918905688
levée,Février,261,5853,28173,0.04459251665812404,0.009264189117239911,3.993226076044689
travaux publics,Camille,261,50480,40165,0.005170364500792393,0.006498194945848376,0.37313667016697694
tarif,Février,261,26583,28173,0.009818304931723282,0.009264189117239911,1.809970332002439
compagnie,Del,261,41266,29267,0.0063248194639654925,0.008917893873646086,1.120558984786274
chemin de fer,Louis,261,13455,106741,0.01939799331103679,0.0024451710214444308,0.8706025387870889
chenal,Ferdinand,260,1782,18352,0.14590347923681257,0.014167393199651265,6.321742735021834
rivière,Arthur,259,4363,22927,0.059362823745129495,0.011296724386094997,4.703249778798471
charge,Del,259,21218,29267,0.012206617023282119,0.008849557522123894,2.0691262027495023
prix,Loyer,259,56952,7012,0.004547689282202556,0.036936679977181974,2.7060453405430382
rivière,Simyan,259,4363,7220,0.059362823745129495,0.03587257617728532,6.370226627066647
rivière,Emile,258,4363,58742,0.059133623653449464,0.00439208743318239,3.3403239508181444
rivière,Philippe,257,4363,3016,0.05890442356176943,0.08521220159151194,7.618405297079841
chenal,Dalbiez,257,1782,3544,0.1442199775533109,0.07251693002257337,8.677486258648065
rivière,Ringuier,256,4363,5751,0.05867522347008939,0.044513997565640756,6.68160433876532
chenal,Camuzet,256,1782,5177,0.143658810325477,0.049449488120533125,8.125123995148277
